"","views","mature","life_time","created_at","updated_at","numeric_id","dead_account","language","affiliate"
"19220",12784,1,1885,"2013-08-09","2018-10-07",19219,0,"EN",1
"130636",11706,1,1391,"2014-12-20","2018-10-11",130635,0,"EN",1
"68817",4079,0,1241,"2015-05-18","2018-10-10",68816,0,"EN",0
"116818",3021,0,2024,"2013-03-28","2018-10-12",116817,0,"EN",0
"71395",11466,0,2088,"2013-01-13","2018-10-02",71394,0,"EN",0
"110920",6689,0,2253,"2012-08-10","2018-10-11",110919,0,"ES",1
"95762",13479,0,2064,"2013-02-16","2018-10-12",95761,0,"DE",1
"155726",13055,0,2282,"2012-07-07","2018-10-06",155725,0,"PT",0
"38216",10858,1,2155,"2012-11-13","2018-10-08",38215,0,"EN",1
"129430",2926,1,1779,"2013-11-27","2018-10-11",129429,0,"ES",1
"166368",336866,1,2680,"2011-06-11","2018-10-12",166367,0,"EN",0
"81148",6215,0,2220,"2012-09-03","2018-10-02",81147,0,"EN",1
"100246",194377,1,1310,"2015-03-12","2018-10-12",100245,0,"FR",1
"143655",5316,1,2407,"2012-03-10","2018-10-12",143654,0,"EN",1
"51767",942,0,2140,"2012-11-23","2018-10-03",51766,0,"EN",1
"146159",4971,1,2627,"2011-08-02","2018-10-11",146158,0,"EN",0
"145833",3059,0,2444,"2012-01-28","2018-10-07",145832,0,"EN",0
"40865",13616,1,2457,"2012-01-20","2018-10-12",40864,0,"EN",1
"125760",3911,0,2263,"2012-08-01","2018-10-12",125759,0,"EN",0
"70465",2751,1,1770,"2013-11-25","2018-09-30",70464,0,"PT",1
"69458",2989,0,2259,"2012-07-17","2018-09-23",69457,0,"EN",1
"51161",14957,0,1806,"2013-10-29","2018-10-09",51160,0,"EN",0
"99886",26584,1,2253,"2012-08-11","2018-10-12",99885,0,"EN",1
"165135",1991,0,1945,"2013-06-01","2018-09-28",165134,0,"EN",0
"154549",8908,1,2191,"2012-09-22","2018-09-22",154548,0,"EN",0
"140556",507,0,2082,"2013-01-28","2018-10-11",140555,0,"EN",0
"82042",26286,0,2280,"2012-07-15","2018-10-12",82041,0,"EN",0
"102825",2292,0,1832,"2013-10-01","2018-10-07",102824,0,"EN",1
"120908",23808,0,2411,"2012-03-06","2018-10-12",120907,0,"EN",0
"149320",85615,1,2535,"2011-11-03","2018-10-12",149319,0,"FR",1
"95678",14430,0,2078,"2013-02-02","2018-10-12",95677,0,"FR",1
"134661",117032,1,2131,"2012-12-11","2018-10-12",134660,0,"EN",1
"159667",3974,1,1897,"2013-06-01","2018-08-11",159666,0,"EN",0
"101022",8077,1,1299,"2015-03-23","2018-10-12",101021,0,"EN",1
"135476",1761241,0,2365,"2012-04-21","2018-10-12",135475,0,"EN",1
"91015",1794,1,1165,"2015-07-20","2018-09-27",91014,0,"EN",1
"124146",2280,0,2610,"2011-08-10","2018-10-02",124145,0,"EN",0
"83373",4320,1,2177,"2012-10-24","2018-10-10",83372,0,"EN",1
"122414",2013,1,2301,"2012-06-24","2018-10-12",122413,0,"EN",1
"34028",1975,1,2273,"2012-07-18","2018-10-08",34027,0,"EN",0
"137122",590,0,1992,"2013-04-19","2018-10-02",137121,0,"EN",0
"159523",3038,0,2072,"2013-02-01","2018-10-05",159522,0,"ES",1
"77913",35742,0,2338,"2012-05-18","2018-10-12",77912,0,"EN",1
"133503",58468,1,1952,"2013-06-08","2018-10-12",133502,0,"EN",1
"18927",50491,1,2093,"2013-01-11","2018-10-05",18926,0,"EN",0
"79436",13333,0,2342,"2012-04-28","2018-09-26",79435,0,"EN",0
"121785",4736,0,2139,"2012-12-03","2018-10-12",121784,0,"ES",0
"79203",1394,0,1882,"2013-08-16","2018-10-11",79202,0,"EN",0
"74156",6333,1,2457,"2012-01-20","2018-10-12",74155,0,"EN",1
"126699",4383,0,2132,"2012-12-05","2018-10-07",126698,0,"EN",1
"166542",9374,1,2128,"2012-12-14","2018-10-12",166541,0,"EN",1
"166387",8493,0,1588,"2014-06-01","2018-10-06",166386,0,"EN",1
"67015",13322,1,2426,"2012-02-20","2018-10-12",67014,0,"EN",1
"125960",3639,0,2488,"2011-12-17","2018-10-09",125959,0,"EN",1
"16086",6468,1,1955,"2013-06-05","2018-10-12",16085,0,"EN",0
"104375",1526815,0,2265,"2012-07-30","2018-10-12",104374,0,"EN",0
"80538",12213,0,2961,"2010-08-30","2018-10-08",80537,0,"EN",0
"162341",1549,0,2187,"2012-10-05","2018-10-01",162340,0,"EN",0
"64427",86602,0,2111,"2012-12-23","2018-10-04",64426,0,"EN",0
"130490",14131,0,2852,"2010-12-21","2018-10-12",130489,0,"EN",1
"158115",247950,1,2627,"2011-08-03","2018-10-12",158114,0,"EN",0
"93734",1053,0,1824,"2013-10-11","2018-10-09",93733,0,"EN",1
"140516",3343,0,2036,"2013-01-22","2018-08-20",140515,0,"ZH",0
"155159",13876,1,2581,"2011-08-17","2018-09-10",155158,0,"ZH",0
"16364",20903,1,1479,"2014-09-21","2018-10-09",16363,0,"EN",1
"13190",61998,0,2168,"2012-11-04","2018-10-12",13189,0,"EN",1
"139943",6601960,0,1307,"2015-03-15","2018-10-12",139942,0,"PL",0
"71439",694,0,2270,"2012-07-21","2018-10-08",71438,0,"FR",0
"164796",3564,0,2719,"2011-04-15","2018-09-24",164795,0,"FR",0
"27923",515,0,1166,"2015-07-15","2018-09-23",27922,0,"EN",0
"29387",100507,1,3050,"2010-06-06","2018-10-12",29386,0,"EN",1
"3120",5381,1,1681,"2014-03-06","2018-10-12",3119,0,"EN",0
"99240",12412,1,1432,"2014-11-10","2018-10-12",99239,0,"EN",1
"26831",2712,0,724,"2016-10-18","2018-10-12",26830,0,"EN",0
"145256",11347405,1,2619,"2011-08-11","2018-10-12",145255,0,"EN",0
"158575",141537,0,1545,"2014-07-20","2018-10-12",158574,0,"EN",0
"106531",24874,1,1343,"2015-02-03","2018-10-08",106530,0,"EN",1
"8964",949,1,1638,"2014-04-18","2018-10-12",8963,0,"DE",1
"12453",2218801,0,1758,"2013-12-19","2018-10-12",12452,0,"FR",0
"112216",31510,1,963,"2016-02-22","2018-10-12",112215,0,"FR",1
"166029",81116,0,2885,"2010-11-18","2018-10-12",166028,0,"EN",1
"18135",76449,1,1623,"2014-05-02","2018-10-11",18134,0,"EN",1
"83754",2520254,1,2414,"2012-03-03","2018-10-12",83753,0,"EN",0
"89822",386,1,2298,"2012-06-25","2018-10-10",89821,0,"EN",0
"35429",3077572,0,2080,"2013-01-31","2018-10-12",35428,0,"EN",0
"21794",9194058,1,2853,"2010-12-20","2018-10-12",21793,0,"FR",0
"112260",8940,0,2229,"2012-09-03","2018-10-11",112259,0,"FR",0
"101519",15878,1,2015,"2013-03-31","2018-10-06",101518,0,"EN",1
"19333",21128,1,1276,"2015-04-15","2018-10-12",19332,0,"DE",1
"154435",1419,1,1635,"2014-04-15","2018-10-06",154434,0,"DE",1
"13308",1336,1,1997,"2013-04-10","2018-09-28",13307,0,"DE",0
"140515",14322,1,1332,"2015-02-18","2018-10-12",140514,0,"EN",1
"99626",21029,1,2463,"2012-01-06","2018-10-04",99625,0,"DE",1
"50720",128442,1,1017,"2015-12-30","2018-10-12",50719,0,"DE",1
"138787",9458,1,2460,"2012-01-17","2018-10-12",138786,0,"DE",0
"78274",2937,1,1115,"2015-09-21","2018-10-10",78273,0,"DE",0
"153459",1161,1,2531,"2011-11-07","2018-10-12",153458,0,"EN",0
"116621",1205,0,2062,"2013-02-15","2018-10-09",116620,0,"EN",0
"59645",717,1,960,"2016-02-20","2018-10-07",59644,0,"DE",0
"62133",61738,1,1664,"2014-03-23","2018-10-12",62132,0,"DE",1
"628",7795653,0,890,"2016-05-05","2018-10-12",627,0,"EN",0
"35788",5899684,0,3370,"2009-07-21","2018-10-12",35787,0,"EN",0
"118991",73851,0,1337,"2015-02-12","2018-10-11",118990,0,"EN",0
"145076",1889110,1,1803,"2013-11-04","2018-10-12",145075,0,"EN",0
"142457",13582,1,1328,"2015-02-22","2018-10-12",142456,0,"EN",1
"138466",1858780,1,2342,"2012-05-14","2018-10-12",138465,0,"DE",0
"151860",1225,0,653,"2016-11-06","2018-08-21",151859,0,"DE",0
"38370",7350,1,829,"2016-07-03","2018-10-10",38369,0,"DE",0
"18196",9676,1,2526,"2011-11-12","2018-10-12",18195,0,"DE",1
"41023",7861,1,933,"2016-03-21","2018-10-10",41022,0,"DE",1
"63794",4254,1,787,"2016-08-15","2018-10-11",63793,0,"DE",0
"148199",10971,0,1520,"2014-08-14","2018-10-12",148198,0,"FR",1
"107223",45151,1,1373,"2015-01-08","2018-10-12",107222,0,"DE",1
"125962",13309,1,1792,"2013-11-15","2018-10-12",125961,0,"EN",1
"34419",335946,1,1374,"2015-01-07","2018-10-12",34418,0,"DE",0
"150623",1112,0,389,"2017-09-16","2018-10-10",150622,0,"DE",0
"51145",5014,1,806,"2016-07-28","2018-10-12",51144,0,"DE",1
"4332",376378,1,1423,"2014-11-19","2018-10-12",4331,0,"DE",0
"134664",4198,1,877,"2016-05-16","2018-10-10",134663,0,"DE",1
"166006",3157,0,433,"2017-07-23","2018-09-29",166005,0,"DE",1
"89209",914,0,1922,"2013-07-08","2018-10-12",89208,0,"DE",0
"37294",631527,1,1343,"2015-02-07","2018-10-12",37293,0,"DE",0
"72733",18222,1,2593,"2011-09-01","2018-10-07",72732,0,"DE",1
"44236",1403,1,1392,"2014-12-20","2018-10-12",44235,0,"DE",0
"142208",5969,1,470,"2017-06-28","2018-10-11",142207,0,"DE",0
"90970",218665,0,1542,"2014-07-23","2018-10-12",90969,0,"DE",0
"21507",12622,1,878,"2016-05-17","2018-10-12",21506,0,"DE",1
"152502",12873,1,1756,"2013-12-21","2018-10-12",152501,0,"DE",1
"32274",158444,1,1165,"2015-08-04","2018-10-12",32273,0,"DE",1
"152018",1045,1,1607,"2014-05-19","2018-10-12",152017,0,"DE",0
"142041",11929,1,1542,"2014-07-23","2018-10-12",142040,0,"DE",1
"162017",5980,1,926,"2016-03-29","2018-10-11",162016,0,"DE",0
"150190",1938,1,1374,"2014-12-26","2018-09-30",150189,0,"DE",1
"114253",585,1,339,"2017-10-01","2018-09-05",114252,0,"DE",0
"111688",91913,1,958,"2016-02-27","2018-10-12",111687,0,"DE",1
"132000",4689,1,1042,"2015-12-04","2018-10-11",131999,0,"DE",1
"122047",1538,1,789,"2016-08-14","2018-10-12",122046,0,"DE",0
"197",19959321,0,1276,"2015-04-15","2018-10-12",196,0,"EN",0
"77652",7579,1,2341,"2012-05-13","2018-10-10",77651,0,"DE",1
"163808",83823,1,2659,"2011-07-02","2018-10-12",163807,0,"EN",1
"7321",317050,1,2613,"2011-08-17","2018-10-12",7320,0,"EN",1
"34093",5527,0,2060,"2013-02-10","2018-10-02",34092,0,"DE",0
"75451",19995,0,3134,"2010-03-14","2018-10-12",75450,0,"EN",1
"23311",24942,0,2006,"2013-04-14","2018-10-11",23310,0,"EN",0
"38997",5017,1,2189,"2012-01-31","2018-01-28",38996,1,"EN",0
"78548",9602,1,1594,"2014-05-26","2018-10-06",78547,0,"EN",1
"113248",1947523,0,2530,"2011-11-08","2018-10-12",113247,0,"EN",0
"138295",654,1,1553,"2014-07-12","2018-10-12",138294,0,"EN",0
"104070",64921,1,2232,"2012-09-01","2018-10-12",104069,0,"EN",1
"162032",22201,1,2436,"2012-01-07","2018-09-08",162031,0,"EN",1
"149330",18607,1,1962,"2013-05-29","2018-10-12",149329,0,"EN",1
"110194",420,0,2258,"2012-06-27","2018-09-02",110193,0,"EN",0
"156172",236197,0,2260,"2012-07-30","2018-10-07",156171,0,"EN",1
"134135",12222,1,1489,"2014-09-14","2018-10-12",134134,0,"EN",0
"83363",128180,0,1265,"2015-04-26","2018-10-12",83362,0,"EN",1
"36548",7211,0,2277,"2012-07-16","2018-10-10",36547,0,"EN",1
"1782",8336,0,2585,"2011-09-14","2018-10-12",1781,0,"EN",1
"131285",4180010,1,3635,"2008-10-29","2018-10-12",131284,0,"EN",0
"133005",20640,1,2680,"2011-05-24","2018-09-24",133004,0,"EN",1
"121614",17066,0,2293,"2012-06-06","2018-09-16",121613,0,"EN",1
"3837",19253,1,2517,"2011-11-18","2018-10-09",3836,0,"EN",0
"160407",22664,1,1620,"2014-05-05","2018-10-11",160406,0,"EN",0
"123033",1651,1,2620,"2011-07-22","2018-09-23",123032,0,"EN",0
"1296",16251841,0,2995,"2010-07-31","2018-10-12",1295,0,"EN",0
"9652",8472,0,743,"2016-09-29","2018-10-12",9651,0,"PT",1
"36838",1129,0,2302,"2012-06-19","2018-10-08",36837,0,"EN",0
"35680",758,0,1557,"2014-04-21","2018-07-26",35679,0,"EN",0
"133666",4397,1,1031,"2015-12-08","2018-10-04",133665,0,"EN",0
"64868",30215,0,2484,"2011-12-24","2018-10-12",64867,0,"EN",0
"1967",3306,1,2591,"2011-09-07","2018-10-11",1966,0,"EN",0
"90959",2050,0,1627,"2014-03-13","2018-08-26",90958,0,"EN",0
"47855",13169,1,2408,"2012-03-09","2018-10-12",47854,0,"EN",0
"45695",1616,1,1998,"2013-03-31","2018-09-19",45694,0,"EN",0
"20276",1473,0,1513,"2014-08-20","2018-10-11",20275,0,"EN",1
"31149",5435,0,536,"2017-04-24","2018-10-12",31148,0,"EN",1
"8894",259,0,1791,"2013-11-16","2018-10-12",8893,0,"EN",0
"63844",40217,0,2483,"2011-12-24","2018-10-11",63843,0,"EN",1
"25830",135774,0,1802,"2013-11-05","2018-10-12",25829,0,"EN",0
"6016",535,0,1297,"2015-03-23","2018-10-10",6015,0,"EN",0
"87480",1049,0,1438,"2014-11-04","2018-10-12",87479,0,"EN",1
"151033",1211,1,1947,"2013-06-03","2018-10-02",151032,0,"EN",0
"50130",9211,0,1867,"2013-09-01","2018-10-12",50129,0,"EN",1
"126457",1291,0,843,"2016-06-21","2018-10-12",126456,0,"EN",1
"89647",9740,0,1920,"2013-07-10","2018-10-12",89646,0,"EN",1
"99492",26598,1,811,"2016-07-23","2018-10-12",99491,0,"EN",1
"6718",2424,0,1538,"2014-07-24","2018-10-09",6717,0,"EN",0
"6090",5415,0,1753,"2013-12-23","2018-10-11",6089,0,"EN",1
"128804",1386,1,1973,"2013-05-17","2018-10-11",128803,0,"EN",0
"51127",8172,0,2154,"2012-11-06","2018-09-30",51126,0,"EN",0
"135076",14070,0,2653,"2011-07-08","2018-10-12",135075,0,"FR",1
"47816",16170,1,1083,"2015-10-25","2018-10-12",47815,0,"EN",1
"80631",2770,0,913,"2016-04-12","2018-10-12",80630,0,"EN",0
"78609",253,0,1418,"2013-11-30","2017-10-18",78608,1,"EN",0
"69597",108475,0,1728,"2014-01-18","2018-10-12",69596,0,"EN",1
"89908",8455,0,1849,"2013-09-03","2018-09-26",89907,0,"EN",1
"14167",2794,0,1547,"2014-07-11","2018-10-05",14166,0,"EN",0
"29145",1176,0,2270,"2012-07-09","2018-09-26",29144,0,"EN",0
"166721",2722,0,2306,"2012-06-19","2018-10-12",166720,0,"EN",1
"110939",654,0,2141,"2012-11-17","2018-09-28",110938,0,"EN",0
"137829",1423,1,1106,"2015-09-08","2018-09-18",137828,0,"EN",0
"7660",34379,1,1508,"2014-08-26","2018-10-12",7659,0,"EN",1
"24723",496,0,1184,"2015-07-09","2018-10-05",24722,0,"OTHER",1
"72788",128479,1,3814,"2008-05-03","2018-10-12",72787,0,"EN",1
"10326",10067,1,1740,"2014-01-06","2018-10-12",10325,0,"EN",1
"166499",205,0,757,"2016-09-15","2018-10-12",166498,0,"EN",0
"68656",15241,1,3722,"2008-07-18","2018-09-26",68655,0,"EN",0
"12616",1772,1,1055,"2015-11-21","2018-10-11",12615,0,"EN",0
"65813",21230,0,2090,"2013-01-16","2018-10-07",65812,0,"EN",1
"58441",29035,0,1454,"2014-10-19","2018-10-12",58440,0,"EN",1
"47688",8540,0,1915,"2013-07-10","2018-10-07",47687,0,"EN",1
"58675",859,0,834,"2016-06-28","2018-10-10",58674,0,"EN",0
"64291",5220,0,835,"2016-06-29","2018-10-12",64290,0,"EN",1
"152101",173,1,852,"2016-03-04","2018-07-04",152100,1,"EN",0
"8873",1278,0,1665,"2014-03-01","2018-09-21",8872,0,"EN",1
"49053",275,0,839,"2016-06-25","2018-10-12",49052,0,"EN",0
"54657",83,0,1367,"2014-11-04","2018-08-02",54656,0,"EN",0
"139295",4582,1,2286,"2012-07-09","2018-10-12",139294,0,"EN",1
"17662",23986,0,2072,"2013-02-07","2018-10-11",17661,0,"EN",1
"72665",1317,0,2081,"2013-01-30","2018-10-12",72664,0,"EN",1
"64410",9137,0,714,"2016-10-28","2018-10-12",64409,0,"EN",1
"102701",4891,0,1500,"2014-09-03","2018-10-12",102700,0,"EN",1
"49305",21264,1,1177,"2015-07-23","2018-10-12",49304,0,"EN",1
"113132",4580,0,2401,"2012-03-03","2018-09-29",113131,0,"EN",0
"108790",6083,1,1261,"2015-04-30","2018-10-12",108789,0,"EN",1
"115560",558,0,1051,"2015-11-05","2018-09-21",115559,0,"EN",0
"136820",651,0,1410,"2014-11-30","2018-10-10",136819,0,"EN",0
"152235",15342,1,1474,"2014-09-24","2018-10-07",152234,0,"EN",1
"41872",4342,0,792,"2016-08-10","2018-10-11",41871,0,"NL",0
"2231",12350,1,1997,"2013-04-22","2018-10-10",2230,0,"EN",1
"155777",11356,1,1865,"2013-09-03","2018-10-12",155776,0,"EN",0
"77475",9621,0,1261,"2015-04-30","2018-10-12",77474,0,"EN",1
"55581",2375,0,691,"2016-11-04","2018-09-26",55580,0,"EN",0
"19291",1879,1,2650,"2011-07-08","2018-10-09",19290,0,"EN",0
"128699",6550,0,2100,"2012-11-18","2018-08-19",128698,0,"EN",0
"48310",818,1,1730,"2014-01-15","2018-10-11",48309,0,"EN",1
"69890",5068,0,2070,"2013-02-07","2018-10-09",69889,0,"EN",0
"64697",815,1,1372,"2015-01-07","2018-10-10",64696,0,"EN",0
"129985",8795,1,1212,"2015-06-18","2018-10-12",129984,0,"EN",1
"35778",10530,1,2323,"2012-05-30","2018-10-09",35777,0,"EN",1
"112679",572,0,1022,"2015-12-20","2018-10-07",112678,0,"EN",0
"68691",655,0,1842,"2013-09-08","2018-09-24",68690,0,"EN",0
"120324",4166,1,2457,"2012-01-18","2018-10-10",120323,0,"EN",1
"28727",12055,0,1357,"2015-01-24","2018-10-12",28726,0,"EN",1
"51360",1773,1,1456,"2014-10-16","2018-10-11",51359,0,"EN",0
"146681",399,0,1258,"2015-04-27","2018-10-06",146680,0,"EN",0
"143080",955,0,454,"2017-07-15","2018-10-12",143079,0,"EN",0
"38614",2882,1,1742,"2014-01-02","2018-10-10",38613,0,"EN",1
"19500",25714,1,884,"2016-05-11","2018-10-12",19499,0,"EN",1
"2035",16086,0,2080,"2013-01-31","2018-10-12",2034,0,"EN",1
